,magnitude,depth
0,4.8,47.44
1,2.75,0.48
2,2.56,6.52
3,4.6,605.6
4,5.0,10.0
5,5.4,10.0
6,5.5,10.0
7,4.9,10.0
8,4.4,35.0
9,4.6,33.46
10,4.4,10.0
11,4.2,189.37
12,4.3,10.0
13,3.51,-0.79
14,2.54,-1.23000001907349
15,2.75,5.11
16,2.5,68.2
17,4.3,10.0
18,2.9,7.26
19,3.69,49.0
20,2.72,10.94
21,4.4,10.0
22,2.6,166.0
23,3.0,10.0
24,4.5,10.0
25,5.2,10.0
26,2.7,5.0
27,2.59,10.21
28,2.9,6.44
29,2.74,3.79
30,3.4,78.96
31,3.36,46.54
32,3.17,10.71
33,4.5,530.38
34,2.9,49.3
35,2.5,66.9
36,4.3,10.0
37,4.3,400.11
38,4.9,208.17
39,2.8,4.614794922
40,2.6,5.0
41,2.52,12.22
42,5.2,44.54
43,2.9,10.0
44,3.2,7.19
45,4.7,10.0
46,3.57,80.0
47,4.3,140.97
48,4.6,10.0
49,4.6,554.11
50,4.4,10.0
51,2.6,5.0
52,5.4,10.0
53,3.4,7.519799805
54,3.1,5.0
55,4.4,78.17
56,2.8,5.47
57,4.6,58.16
58,3.2,6.157275391
59,3.04,2.28
60,2.69,31.69
61,3.5,10.0
62,2.6,115.38
63,3.24,56.17
64,4.4,177.61
65,4.3,348.62
66,3.44,25.29
67,2.57,8.76
68,5.1,35.0
69,2.52,12.11
70,3.09,40.77
71,4.4,243.08
72,2.8,5.0
73,4.5,152.61
74,4.3,35.56
75,2.8,32.24
76,2.89,13.36
77,4.6,298.95
78,2.8,2.866650391
79,3.4,2.6
80,4.9,46.48
81,5.2,8.13
82,2.6,7.699755859
83,3.17,28.95
84,3.66,113.0
85,4.6,19.4
86,3.38,22.96
87,3.26,38.42
88,3.27,40.6
89,4.3,36.31
90,4.3,10.0
91,4.5,10.0
92,2.47,9.4
93,2.55,16.42
94,3.29,7.08
95,3.75,3.0
96,4.6,65.08
97,4.4,10.0
98,2.6,5.0
99,4.3,10.0
100,2.5,8.46
101,2.6,4.8
102,4.4,56.92
103,2.9,5.154663086
104,4.7,10.0
105,2.7,3.28
106,2.9,20.1
107,3.8,7.93112793
108,2.5,5.0
109,4.6,125.81
110,4.5,144.21
111,5.2,10.49
112,4.3,224.01
113,2.5,72.1
114,5.8,26.52
115,2.5,5.0
116,2.9,16.27
117,4.1,66.28
118,3.05,17.32
119,2.47,9.78
120,5.1,10.0
121,5.6,10.15
122,3.8,18.97
123,5.0,58.43
124,4.1,114.28
125,3.2,0.0
126,2.5,13.66
127,4.0,47.25
128,4.6,53.39
129,3.3,6.73
130,3.4,11.9
131,4.6,10.0
132,3.29,-0.46
133,2.7,6.568603515999999
134,4.8,10.0
135,5.4,10.0
136,3.5,16.23
137,2.9,176.1
138,4.7,10.0
139,5.1,10.0
140,4.7,10.0
141,4.3,10.0
142,3.8,20.91
143,2.82,31.83
144,2.59,-0.78
145,2.7,2.7
146,2.61,18.78
147,2.81,8.44
148,2.7,89.1
149,3.02,7.0
150,4.5,10.0
151,3.0,169.99
152,4.9,597.7
153,4.5,595.85
154,2.7,91.4
155,2.59,12.37
156,2.5,5.8
157,2.495323809,4.846166992
158,2.7,5.0
159,4.9,75.58
160,2.7,5.0
161,2.95,9.79
162,4.9,10.0
163,2.49,11.63
164,4.6,35.0
165,5.0,35.0
166,2.6,17.97
167,3.67,-0.49
168,4.4,10.0
169,5.0,507.53
170,4.4,87.49
171,5.0,57.7
172,5.0,10.0
173,3.3,12.23
174,2.5,68.3
175,4.5,10.0
176,4.1,108.92
177,5.0,10.0
178,2.65,0.1
179,5.7,10.0
180,3.3,10.0
181,4.5,33.17
182,2.5,5.540283203000001
183,3.1,6.0
184,2.5,7.0
185,2.78,32.41
186,4.7,51.79
187,4.3,10.0
188,4.7,10.0
189,4.5,37.78
190,2.95,31.73
191,3.14,31.82
192,4.4,203.0
193,5.3,10.0
194,4.5,91.82
195,2.6,6.362939453
196,2.6,6.157275391
197,4.2,10.0
198,2.6,5.0
199,3.17,10.31
200,3.39,37.73
201,3.6,10.0
202,2.8,35.0
203,3.3,6.234399414
204,2.6,5.745947266
205,5.1,76.49
206,5.2,46.6
207,4.6,6.799975586
208,4.5,121.93
209,5.4,110.17
210,2.46,15.93
211,4.4,135.36
212,5.3,123.58
213,3.1,11.0
214,4.2,10.0
215,2.45,10.03
216,4.8,10.0
217,4.9,10.0
218,4.7,139.64
219,4.8,10.0
220,2.56,12.09
221,4.6,10.0
222,2.6,6.979931641
223,4.6,10.0
224,2.8,77.5
225,4.5,10.0
226,2.59,11.7
227,4.8,10.0
228,4.3,10.0
229,5.2,10.0
230,3.22,35.69
231,2.7,1.6
232,2.78,11.99
233,3.2,123.0
234,4.7,53.76
235,2.7,6.74855957
236,4.6,35.0
237,4.0,6.157275391
238,4.6,62.6
239,4.2,150.66
240,2.59,15.44
241,2.49,1.55
242,2.55,12.88
243,3.07,12.5
244,2.7,24.1
245,2.8,1.4
246,2.79,34.91
247,4.7,10.0
248,4.6,133.21
249,4.3,44.23
250,4.5,534.35
251,2.9,8.485799154
252,4.5,115.36
253,3.59,49.0
254,2.9,104.8
255,3.68,66.0
256,2.8,5.0
257,3.1,6.414355469
258,4.5,54.82
259,3.04,13.71
260,4.3,266.78
261,3.39,10.0
262,4.7,95.2
263,5.2,21.61
264,4.2,13.22
265,3.28,14.67
266,4.9,10.0
267,4.4,76.18
268,5.0,10.0
269,4.5,43.66
270,2.85,7.5
271,5.1,10.0
272,2.82,7.48
273,6.0,115.69
274,4.3,10.0
275,5.5,10.0
276,4.7,10.0
277,4.6,10.0
278,5.1,10.0
279,4.7,148.0
280,4.7,149.62
281,4.4,120.48
282,5.2,10.0
283,4.3,10.0
284,4.2,111.72
285,4.9,119.69
286,4.8,10.0
287,4.2,102.44
288,2.69,15.1
289,2.8,10.0
290,2.6,11.12691243
291,5.1,10.0
292,5.2,10.0
293,4.4,46.54
294,4.5,55.51
295,3.83,29.0
296,5.2,25.85
297,2.79,22.86
298,4.5,7.12
299,4.4,226.54
300,2.47,6.24
301,2.75,10.21
302,2.5,9.13
303,4.8,10.0
304,4.2,50.29
305,4.3,10.0
306,4.2,88.87
307,3.1,224.09
308,2.61,7.47
309,4.5,10.0
310,5.1,10.0
311,2.46,10.8
312,4.0,10.0
313,4.5,10.0
314,4.3,35.0
315,4.2,37.28
316,4.3,22.95
317,4.2,19.89
318,2.47,10.68
319,4.7,15.65
320,4.6,191.76
321,2.45,13.9
322,5.8,10.0
323,5.7,10.0
